Vehicle Number,Maximum Capacity
Lg Band Trailer,
Maint Trk 5th wheel,
Shop Truck,6
Sm Band Trl,0
SUV 12-1,7
SUV 12-2,7
SUV 22-1,7
SUV 23-1,8
SUV 23-2,8
SUV 23-3,5
SUV 24-1,8
VAN 18-3,8
052,77
053,77
165,77
298,77
308,77
309,77
345,42
0704,33
714,77
738,77
869,78
919,77
0927,78
0928,78
940,48
1388,77
1389,77
1682,72
1683,72
1684,72
1856,77
1857,77
1858,77
1859,77
3135,30
3197,77
3199,77
3200,77
3229,45
3245,73
3467,32
3724,30
4814,77
4815,77
4816,77
4817,30
4818,30
5619,77
5639,77
5640,77
5760,78
5761,78
5762,78
5763,78
6053,55
6054,55
7265,55
7289,72
7290,72
7291,72
8016,30
8027,14
9265,78
9266,78
9551,30
9552,30
9553,30
9641,77
9642,77
9643,77
9644,77